transition_id,transition_date,from_sku,to_sku,from_package_size,to_package_size,worker_skill,crew_size,days_since_last_clean,equipment_condition,shift,day_of_week,setup_time,labor_cost,material_loss,wash_cost,packaging_time,downtime,sequence_violation_ref
TR-0001,2026-04-02,SKU-WHITE-001,SKU-WHITE-001,1L,4L,0.3,5,5,1.0,day,3,14.62,62151.73,1.6,20112.28,11.33,6.65,0
TR-0002,2026-04-03,SKU-WHITE-001,SKU-IVORY-001,1L,4L,0.3,2,1,1.0,night,4,15.48,26307.89,1.78,21195.75,11.41,7.03,0
TR-0003,2026-04-04,SKU-WHITE-001,SKU-YELLOW-001,1L,1L,0.6,3,0,0.3,day,5,18.59,47408.43,2.18,30161.96,7.89,8.45,0
TR-0004,2026-04-05,SKU-WHITE-001,SKU-RED-001,1L,18L,0.6,4,1,1.0,day,6,25.56,86919.46,3.28,39036.7,12.32,11.62,0
TR-0005,2026-04-06,SKU-WHITE-001,SKU-BLUE-001,4L,1L,0.6,3,7,0.3,day,0,32.8,83627.94,4.27,48239.43,12.98,14.91,0
TR-0006,2026-04-07,SKU-WHITE-001,SKU-GREEN-001,1L,4L,0.9,2,1,1.0,day,1,25.78,43833.12,3.37,39316.24,12.34,11.72,0
TR-0007,2026-04-08,SKU-WHITE-001,SKU-GRAY-001,18L,4L,0.6,3,1,0.3,day,2,25.8,65784.96,3.23,39333.85,12.35,11.73,0
TR-0008,2026-04-09,SKU-WHITE-001,SKU-BLACK-001,1L,4L,0.6,5,7,1.0,night,3,33.86,143894.7,4.63,49591.46,13.08,15.39,0
TR-0009,2026-04-10,SKU-WHITE-001,SKU-SILVER-001,4L,18L,0.6,5,1,1.0,night,4,25.5,108354.21,2.96,38948.32,12.32,11.59,0
TR-0010,2026-04-11,SKU-WHITE-001,SKU-GOLD-001,18L,1L,0.6,2,6,1.0,day,5,28.34,48169.86,3.34,42563.0,12.58,12.88,0
