transition_id,transition_date,from_sku,to_sku,from_package_size,to_package_size,worker_skill,crew_size,days_since_last_clean,equipment_condition,shift,day_of_week,setup_time,labor_cost,material_loss,wash_cost,packaging_time,downtime,sequence_violation_ref
TR-0001,2026-04-13,SKU-WHITE-001,SKU-WHITE-001,1L,4L,0.3,3,1,1.0,day,0,1.99,67156.72,0.5632,0.0,16.38,3.46,0
TR-0002,2026-03-10,SKU-WHITE-001,SKU-WHITE-001,4L,4L,0.9,5,1,0.7,night,1,4.32,38754.21,0.2639,14588.38,4.38,6.58,0
TR-0003,2026-01-26,SKU-WHITE-001,SKU-WHITE-001,1L,1L,0.6,4,3,0.3,night,0,2.04,44423.52,1.3628,24245.55,6.33,6.36,0
TR-0005,2026-04-21,SKU-WHITE-001,SKU-WHITE-001,1L,18L,0.9,2,1,1.0,day,1,3.92,41410.76,0.3718,12819.09,12.15,2.14,0
TR-0006,2025-11-15,SKU-WHITE-001,SKU-WHITE-001,1L,1L,0.6,5,3,0.3,day,5,13.22,43892.36,0.8968,23921.08,0.84,8.82,0
TR-0007,2026-04-14,SKU-WHITE-001,SKU-WHITE-001,4L,1L,0.3,4,7,1.0,night,1,0.0,75023.04,0.6673,25602.34,15.14,0.0,0
TR-0009,2026-03-18,SKU-WHITE-001,SKU-WHITE-001,4L,4L,0.6,2,3,0.7,day,2,0.0,49446.82,0.535,20914.82,3.75,5.6,0
TR-0010,2025-11-28,SKU-WHITE-001,SKU-WHITE-001,18L,1L,0.9,3,1,0.7,day,4,0.0,29734.31,0.6981,12993.45,14.82,5.95,0
TR-0011,2026-02-01,SKU-WHITE-001,SKU-IVORY-001,18L,18L,0.6,3,0,0.3,day,6,15.84,62668.37,1.9737,38156.77,5.1,11.06,0
TR-0012,2026-03-02,SKU-WHITE-001,SKU-IVORY-001,18L,1L,0.9,5,1,1.0,day,0,2.42,29945.47,0.3843,8914.57,16.77,3.11,0
TR-0013,2026-01-03,SKU-WHITE-001,SKU-IVORY-001,1L,1L,0.9,3,1,0.3,day,5,8.31,35442.68,1.7911,36334.94,3.84,14.2,0
TR-0015,2026-04-22,SKU-WHITE-001,SKU-IVORY-001,4L,4L,0.3,5,3,0.3,day,2,18.49,70442.45,1.9073,49433.95,1.04,13.05,0
TR-0017,2026-02-11,SKU-WHITE-001,SKU-IVORY-001,18L,1L,0.3,5,3,0.7,night,2,4.25,87466.98,1.109,33616.75,14.77,6.56,0
TR-0018,2026-01-15,SKU-WHITE-001,SKU-IVORY-001,1L,1L,0.9,2,3,0.3,day,3,5.52,36416.69,1.6197,40665.25,5.79,11.9,0
TR-0019,2025-12-18,SKU-WHITE-001,SKU-IVORY-001,1L,1L,0.3,5,0,1.0,day,3,5.49,77389.65,0.8563,12122.5,3.4,3.7,0
TR-0020,2026-01-06,SKU-WHITE-001,SKU-IVORY-001,1L,4L,0.3,4,7,0.3,night,1,10.51,78286.49,1.7439,57965.92,13.14,10.32,0
TR-0021,2025-11-26,SKU-WHITE-001,SKU-LGRAY-001,1L,1L,0.6,3,3,0.3,day,2,14.64,62065.47,2.0155,62157.68,0.49,11.59,0
TR-0022,2026-04-17,SKU-WHITE-001,SKU-LGRAY-001,4L,4L,0.9,4,0,0.3,night,4,11.63,36754.1,2.3415,49978.17,2.48,13.45,0
TR-0023,2025-12-23,SKU-WHITE-001,SKU-LGRAY-001,4L,18L,0.9,5,3,0.3,day,1,6.81,44132.36,2.4939,52991.13,18.8,19.49,0
TR-0024,2025-12-12,SKU-WHITE-001,SKU-LGRAY-001,4L,4L,0.6,2,0,0.3,day,4,10.38,51865.73,2.3358,45719.97,6.2,16.63,0
TR-0025,2025-11-11,SKU-WHITE-001,SKU-LGRAY-001,18L,1L,0.3,2,3,1.0,night,1,12.6,90812.26,0.7808,20462.57,16.87,8.66,0
TR-0027,2026-02-26,SKU-WHITE-001,SKU-LGRAY-001,1L,18L,0.3,3,0,1.0,day,3,5.73,86892.91,1.0984,20006.54,13.58,7.52,0
TR-0029,2025-11-30,SKU-WHITE-001,SKU-LGRAY-001,1L,4L,0.6,2,7,0.3,day,6,15.09,52124.58,2.1895,76938.73,13.48,18.97,0
TR-0030,2026-01-16,SKU-WHITE-001,SKU-LGRAY-001,4L,4L,0.6,5,3,1.0,day,4,7.35,46164.55,1.223,28729.74,6.19,7.91,0
TR-0031,2026-02-12,SKU-WHITE-001,SKU-GRAY-001,4L,1L,0.6,3,7,1.0,night,3,4.76,78637.86,1.6909,41114.85,17.9,5.53,0
TR-0032,2025-12-14,SKU-WHITE-001,SKU-GRAY-001,4L,1L,0.9,4,0,0.3,night,6,14.84,56985.04,3.7744,73689.88,11.15,21.51,0
TR-0033,2025-11-19,SKU-WHITE-001,SKU-GRAY-001,4L,18L,0.9,3,7,0.7,night,2,9.41,64391.34,2.3974,77187.86,15.12,12.36,0
TR-0034,2026-02-17,SKU-WHITE-001,SKU-GRAY-001,1L,18L,0.9,5,0,1.0,day,1,6.61,50383.79,1.6092,24339.43,12.49,7.1,0
TR-0035,2026-01-21,SKU-WHITE-001,SKU-GRAY-001,18L,18L,0.9,5,7,0.3,night,2,9.76,54510.1,3.5357,112399.87,5.4,18.63,0
TR-0036,2026-01-01,SKU-WHITE-001,SKU-GRAY-001,1L,1L,0.6,3,3,0.7,night,3,14.82,81178.12,2.6194,54275.86,5.8,14.44,0
TR-0037,2026-02-15,SKU-WHITE-001,SKU-GRAY-001,4L,4L,0.6,2,1,0.7,night,6,17.14,71296.72,1.8229,44655.81,5.19,11.35,0
TR-0040,2026-02-25,SKU-WHITE-001,SKU-GRAY-001,1L,4L,0.6,4,7,0.7,day,2,8.96,85263.44,2.6176,71430.11,15.12,14.04,0
TR-0041,2026-04-16,SKU-WHITE-001,SKU-BLUE-001,1L,1L,0.3,3,0,1.0,day,3,12.24,110629.88,2.0799,34449.34,3.5,8.74,0
TR-0042,2026-02-03,SKU-WHITE-001,SKU-BLUE-001,1L,4L,0.9,2,1,0.7,day,1,4.43,32467.93,2.4995,48976.86,11.62,18.06,0
TR-0043,2025-12-21,SKU-WHITE-001,SKU-BLUE-001,1L,4L,0.9,3,0,1.0,night,6,8.39,71846.76,2.194,23328.32,15.38,6.59,0
TR-0044,2026-02-18,SKU-WHITE-001,SKU-BLUE-001,4L,1L,0.9,4,0,0.7,night,2,16.52,45303.31,2.3759,58233.54,14.43,12.64,0
TR-0045,2026-03-14,SKU-WHITE-001,SKU-BLUE-001,18L,1L,0.9,5,7,0.7,night,5,9.51,61131.55,2.7031,81996.28,11.83,15.71,0
TR-0046,2026-03-26,SKU-WHITE-001,SKU-BLUE-001,4L,1L,0.3,5,3,0.3,night,3,34.26,101537.6,4.9212,106896.48,14.51,21.57,0
TR-0048,2026-04-27,SKU-WHITE-001,SKU-BLUE-001,1L,4L,0.6,5,3,0.7,night,0,13.78,80782.65,3.0036,66907.33,14.69,12.99,0
